,train,val,test
0,train,val,test
1,1,1,1
2,0,0,0
3,0.5855,0.5967,0.6569
4,0.5452,0.5423,0.5938
5,0.5807,0.5995,0.6761
6,0.55,0.5605,0.5629
7,0.5543,0.6089,0.6283
8,0.5733,0.6206,0.6821
9,0.62,0.586,0.6757
10,0.5877,0.6244,0.6945
11,0.5675,0.5039,0.5323
12,0.5996,0.5748,0.6514
13,0.6178,0.5883,0.6741
14,0.6065,0.5862,0.6647
15,0.6264,0.5993,0.6913
16,0.6306,0.6144,0.6915
17,0.6188,0.5954,0.6812
18,0.6431,0.5862,0.6549
19,0.65,0.5746,0.6565
20,0.6172,0.5797,0.6602
21,0.6149,0.585,0.6673
22,0.6549,0.5913,0.677
23,0.6355,0.5864,0.6686
24,0.643,0.592,0.6847
25,0.625,0.5895,0.6876
26,0.6464,0.5838,0.6868
27,0.6315,0.5864,0.6857
28,0.6371,0.5917,0.6833
29,0.6318,0.5911,0.6849
30,0.6499,0.5889,0.6878
31,0.6543,0.5966,0.69
32,0.6642,0.5917,0.69
33,0.6169,0.5909,0.6898
34,0.6541,0.5917,0.6868
35,0.6371,0.5932,0.6855
36,0.6461,0.5911,0.687
37,0.6208,0.5907,0.6878
38,0.6513,0.5917,0.6902
39,0.6487,0.592,0.6908
40,0.6289,0.5915,0.6896
41,0.6429,0.5919,0.687
42,0.634,0.592,0.6857
43,0.6245,0.5919,0.6864
44,0.6241,0.5913,0.6857
45,0.6255,0.5922,0.6866
46,0.6241,0.5887,0.6894
47,0.6586,0.5877,0.689
48,0.6422,0.587,0.689
49,0.6385,0.5875,0.6892
50,0.6535,0.5879,0.6888
51,0.6161,0.5879,0.6894
52,0.6684,0.5877,0.6896
53,100,100,100
54,0,0,0
55,0.509,0.595,0.5674
56,0.6085,0.6071,0.6065
57,0.6176,0.6122,0.6618
58,0.598,0.5842,0.6528
59,0.6119,0.5844,0.6667
60,0.6221,0.5809,0.6804
61,0.5982,0.615,0.6841
62,0.602,0.6159,0.7076
63,0.6124,0.6197,0.7051
64,0.6124,0.6361,0.7092
65,0.6214,0.64,0.7137
66,0.6342,0.592,0.6782
67,0.6318,0.6277,0.7146
68,0.6125,0.6271,0.7109
69,0.6182,0.6408,0.7115
70,0.5737,0.6208,0.6629
71,0.6248,0.6171,0.6853
72,0.6323,0.6001,0.679
73,0.6406,0.6277,0.7092
74,0.5439,0.6212,0.6336
75,0.6328,0.5987,0.6812
76,0.6193,0.6122,0.6957
77,0.6067,0.6332,0.6935
78,0.6301,0.6302,0.7011
79,0.6033,0.6302,0.7033
80,0.6181,0.6344,0.696
81,0.585,0.6251,0.6772
82,0.6083,0.6344,0.6966
83,0.6381,0.6087,0.6913
84,0.6128,0.631,0.7013
85,0.6303,0.6244,0.7049
86,0.6575,0.6275,0.7043
87,0.6375,0.6067,0.6851
88,0.6265,0.6061,0.6864
89,0.6195,0.6126,0.6953
90,0.6453,0.6132,0.6972
91,0.6348,0.6093,0.6935
92,0.5898,0.6071,0.6882
93,0.6145,0.6044,0.6831
94,0.6397,0.6046,0.6831
95,0.6364,0.6069,0.6868
96,0.642,0.6075,0.6882
97,0.6307,0.6048,0.6849
98,0.6512,0.6044,0.6837
99,0.6291,0.6054,0.6859
100,0.5999,0.6054,0.6861
101,0.6254,0.6046,0.6847
102,0.619,0.604,0.6847
103,0.6165,0.6044,0.6847
104,0.6344,0.6026,0.6841
105,1000,1000,1000
106,0,0,0
107,0.5326,0.5779,0.672
108,0.4837,0.451,0.4479
109,0.4575,0.4785,0.4702
110,0.4973,0.4292,0.4432
111,0.5597,0.5407,0.5774
112,0.5531,0.5445,0.5881
113,0.5426,0.5621,0.6054
114,0.5871,0.5681,0.6013
115,0.563,0.5741,0.6263
116,0.5788,0.594,0.6342
117,0.5906,0.5766,0.6673
118,0.5354,0.5666,0.611
119,0.5595,0.5959,0.6079
120,0.5427,0.5852,0.6377
121,0.5644,0.5979,0.6407
122,0.5712,0.5881,0.6392
123,0.5799,0.5567,0.6203
124,0.4675,0.4389,0.4424
125,0.5126,0.5083,0.5452
126,0.5517,0.5936,0.6161
127,0.4327,0.4795,0.4941
128,0.4718,0.4692,0.492
129,0.5148,0.5545,0.5701
130,0.5333,0.5087,0.5623
131,0.5138,0.4579,0.5291
132,0.6008,0.5965,0.6414
133,0.5635,0.5995,0.6118
134,0.5773,0.5912,0.6152
135,0.5395,0.5919,0.6158
136,0.5588,0.6007,0.604
137,0.5849,0.5907,0.6508
138,0.5709,0.5968,0.6279
139,0.5849,0.5915,0.6255
140,0.5635,0.5846,0.6618
141,0.5522,0.5826,0.6322
142,0.5872,0.5799,0.6661
143,0.5546,0.5799,0.6659
144,0.5577,0.5869,0.6174
145,0.5357,0.5895,0.6155
146,0.5511,0.5824,0.6297
147,0.5694,0.5767,0.6398
148,0.5263,0.5721,0.5881
149,0.5765,0.5786,0.6412
150,0.5304,0.5758,0.6096
151,0.5533,0.5757,0.6395
152,0.577,0.5787,0.6555
153,0.5764,0.5801,0.6484
154,0.564,0.566,0.625
155,0.5004,0.5424,0.5606
156,0.5506,0.5746,0.6441
